일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
2014-03-30,12.9,16.2,14:16,11.2,23:50,5
2014-03-31,13.1,18.6,13:28,9.4,2:35,9.2
2014-04-01,14.6,19.5,11:39,11.4,6:11,8.1
2014-04-02,15.2,20.4,11:54,10.1,6:11,10.3
2014-04-03,14.4,20.5,12:30,10.7,23:59,9.8
2014-04-04,9.6,14.8,14:42,5.1,5:44,9.7
2014-04-05,9.1,12.9,17:21,6.1,6:17,6.8
2014-04-06,9.3,15.8,15:30,4.1,5:21,11.7
2014-04-07,13.7,18.6,13:01,7.8,6:07,10.8
2014-04-08,15,21.5,12:20,11.5,6:18,10
2014-04-09,14.8,19.3,11:04,10.5,5:14,8.8
2014-04-10,14.6,20.3,10:08,10.3,23:53,10
2014-04-11,12.8,17.5,14:03,10.2,0:31,7.3
2014-04-12,13.9,16.7,13:16,11.7,0:02,5
2014-04-13,12.9,17.4,14:43,10.5,6:59,6.9
2014-04-14,14.4,19.4,11:15,10.4,0:26,9
2014-04-15,17.6,22.3,11:16,11.2,2:25,11.1
2014-04-16,18.8,23.9,13:16,15.7,19:08,8.2
2014-04-17,15.2,21.1,10:13,11.7,19:45,9.4
2014-04-18,13,16.8,16:20,10.6,23:57,6.2
2014-04-19,11.6,13.9,10:01,9.9,3:50,4
2014-04-20,12.8,17.4,12:38,10.5,2:03,6.9
2014-04-21,15.8,21.8,10:42,11.2,2:55,10.6
2014-04-22,16.4,21.6,12:29,13.6,23:58,8
2014-04-23,17.4,23.8,13:00,13.5,0:01,10.3
2014-04-24,17.9,22.9,12:36,13.3,5:32,9.6
2014-04-25,17.8,23.3,14:14,13.5,5:02,9.8
2014-04-26,18,22.7,13:26,14,4:22,8.7
2014-04-27,17.4,21.4,13:25,14.8,23:47,6.6
2014-04-28,13.8,14.9,1:40,13.1,16:27,1.8
2014-04-29,15.6,18.5,12:46,14,0:01,4.5
2014-04-30,14.6,16.6,12:46,13.7,6:46,2.9
2014-05-01,17.5,21.8,11:54,13.7,3:48,8.1
2014-05-02,18.6,24.3,12:00,15.1,1:45,9.2
2014-05-03,16.6,22.7,13:22,13.7,23:52,9
2014-05-04,15.9,19.2,12:00,12.4,5:48,6.8
2014-05-05,14.3,19.6,15:29,10.6,5:29,9
2014-05-06,14.3,20,13:19,10.4,5:20,9.6
2014-05-07,15.6,19.6,13:29,11.3,5:40,8.3
2014-05-08,18.3,22.4,17:10,14.8,0:56,7.6
2014-05-09,16.9,22.4,10:57,14.1,23:44,8.3
2014-05-10,17.1,22.4,14:38,12.3,5:32,10.1
2014-05-11,18,22.3,10:44,13.8,5:22,8.5
2014-05-12,19.5,24.7,14:35,16.3,2:16,8.4
2014-05-13,20.5,26.5,13:56,15,5:19,11.5
2014-05-14,17.2,18.8,2:04,15.2,19:32,3.6
2014-05-15,20.3,27.7,15:24,15.5,3:35,12.2
2014-05-16,20,23.8,13:32,17.2,6:21,6.6
2014-05-17,19.6,23.3,14:03,17,5:32,6.3
2014-05-18,19.6,23.8,9:50,16.3,5:33,7.5
2014-05-19,20.4,24.9,13:28,15.7,4:22,9.2
2014-05-20,18.2,20.6,8:26,16,23:58,4.6
2014-05-21,19.8,25.7,13:09,15.7,2:34,10
2014-05-22,19.4,24.9,9:48,16.2,2:14,8.7
2014-05-23,17.5,20.3,15:29,15.8,4:39,4.5
2014-05-24,20.1,24.4,14:38,15.9,1:15,8.5
2014-05-25,19.7,22.8,12:40,17.3,22:15,5.5
2014-05-26,21.1,25.9,14:35,18.3,0:01,7.6
2014-05-27,21.3,27,11:50,18.6,2:50,8.4
2014-05-28,19.5,22.6,12:36,17.8,4:39,4.8
2014-05-29,20.2,24.4,10:57,17.5,4:02,6.9
2014-05-30,20.4,23.6,15:13,16.9,4:25,6.7
2014-05-31,22.6,26.3,14:51,19.5,20:43,6.8
2014-06-01,22.6,25.9,9:32,19.7,23:05,6.2
2014-06-02,20.2,23.6,10:35,17.6,20:22,6
2014-06-03,19.2,20.7,11:45,17.9,3:34,2.8
2014-06-04,20.8,26,14:21,18.1,23:30,7.9
2014-06-05,19.3,21.4,14:45,18.1,1:22,3.3
2014-06-06,20.2,24.2,12:02,17.8,3:40,6.4
2014-06-07,19.6,23.6,11:37,16.5,4:48,7.1
2014-06-08,19.5,22.3,13:41,17.5,3:42,4.8
2014-06-09,20.2,22.7,14:28,18.8,1:53,3.9
2014-06-10,20.9,23.8,14:28,19.1,3:05,4.7
2014-06-11,20.7,25.3,15:13,18,23:50,7.3
2014-06-12,18.9,22.3,14:24,17.7,23:37,4.6
2014-06-13,20.8,24.3,11:19,17.4,4:27,6.9
2014-06-14,22.4,26.6,15:57,19.1,4:52,7.5
2014-06-15,23.4,29,11:53,19.6,5:17,9.4
2014-06-16,23.4,27.5,12:04,20.3,2:37,7.2
2014-06-17,20.7,23.3,16:22,20.2,19:46,3.1
2014-06-18,21.3,25.5,12:57,19.1,6:17,6.4
2014-06-19,22.7,26.4,12:46,18.1,5:24,8.3
2014-06-20,22,25.8,11:20,20.2,21:11,5.6
2014-06-21,20.5,21.7,10:55,19.7,20:43,2
2014-06-22,20.3,22,11:40,18.8,23:48,3.2
2014-06-23,20.6,23.8,13:14,18,4:40,5.8
2014-06-24,21.9,25.9,10:28,19.4,5:20,6.5
2014-06-25,22.4,25.6,12:04,20.1,5:34,5.5
2014-06-26,22.5,26.7,14:04,20.4,5:29,6.3
2014-06-27,23.2,26.7,13:37,20.5,4:17,6.2
2014-06-28,25.2,29.9,12:19,21.3,5:21,8.6
2014-06-29,24,27.6,15:12,21.3,23:47,6.3
2014-06-30,22.7,26.9,12:38,20.7,2:32,6.2
2014-07-01,23.5,27.1,13:53,20.5,4:42,6.6
2014-07-02,22.9,25.8,11:54,20.9,23:31,4.9
2014-07-03,22,25.6,13:27,20.3,6:09,5.3
2014-07-04,22.9,26.1,15:19,21,4:16,5.1
2014-07-05,22.8,26,12:15,20.3,4:37,5.7
2014-07-06,20.7,23,12:11,19.3,16:43,3.7
2014-07-07,21.7,23.2,17:18,19.8,1:03,3.4
2014-07-08,23.8,27.9,18:15,21.8,0:01,6.1
2014-07-09,25.9,28.5,15:08,23.7,2:02,4.8
2014-07-10,26.1,31.8,13:11,24.3,1:53,7.5
2014-07-11,27.7,32.4,15:32,24.4,2:04,8
2014-07-12,24.7,26.5,0:09,23,23:43,3.5
2014-07-13,22.1,24.3,14:46,20.1,9:14,4.2
2014-07-14,24.8,28.4,11:13,22.3,0:01,6.1
2014-07-15,23.2,26.6,13:19,22,3:19,4.6
2014-07-16,23.8,27.6,11:08,22,5:56,5.6
2014-07-17,23.2,25.3,13:42,21.6,20:18,3.7
2014-07-18,22.8,26.5,10:58,21.2,14:46,5.3
2014-07-19,25.5,30.2,12:35,22.5,2:30,7.7
2014-07-20,25.8,29.4,12:39,22.7,0:39,6.7
2014-07-21,25.3,28.2,12:48,22.6,4:22,5.6
2014-07-22,25.8,28.7,12:38,23.3,2:05,5.4
2014-07-23,27.2,30.3,14:42,24.3,4:51,6
2014-07-24,28.2,31.4,16:21,25.5,5:10,5.9
2014-07-25,27.1,29.7,15:50,25.5,20:14,4.2
2014-07-26,27.1,29.8,14:55,24.1,22:57,5.7
2014-07-27,24.3,28.7,9:30,21.7,23:27,7
2014-07-28,23.8,27.2,15:07,20.9,5:03,6.3
2014-07-29,25.8,29.7,13:31,22.8,3:22,6.9
2014-07-30,28.3,32.2,16:01,24.5,5:44,7.7
2014-07-31,29,32.9,12:00,26.4,5:25,6.5
2014-08-01,28.2,32.2,11:43,26.5,21:01,5.7
2014-08-02,26.1,28.6,10:17,24.2,19:22,4.4
2014-08-03,25.3,26.3,10:40,24.2,3:13,2.1
2014-08-04,24,24.8,0:35,23.3,23:50,1.5
2014-08-05,25.3,29,16:30,23.3,0:01,5.7
2014-08-06,26.3,29.5,17:12,23.7,2:13,5.8
2014-08-07,24.9,27.3,14:09,23.9,20:43,3.4
2014-08-08,23.3,25.2,13:49,21.5,6:59,3.7
2014-08-09,24.8,28,13:42,22.7,6:48,5.3
2014-08-10,23.6,27,11:41,20.8,20:12,6.2
2014-08-11,24,28.2,11:41,21.1,0:05,7.1
2014-08-12,25.6,31.3,14:22,22.3,6:11,9
2014-08-13,25.3,27.1,15:04,23.8,1:55,3.3
2014-08-14,21.3,24.4,0:01,20.1,7:08,4.3
2014-08-15,22.7,25.4,16:41,21.3,4:14,4.1
2014-08-16,24.5,28.4,12:46,22.1,3:42,6.3
2014-08-17,24,27.6,12:05,22,5:39,5.6
2014-08-18,22.8,24.7,21:38,20.6,5:06,4.1
2014-08-19,24.2,26.8,13:00,22.9,6:24,3.9
2014-08-20,23.6,24.4,0:01,22.9,16:39,1.5
2014-08-21,24.8,27,15:35,23,23:41,4
2014-08-22,25,28.3,15:23,21.4,5:25,6.9
2014-08-23,25.8,29.7,12:37,23.3,3:56,6.4
2014-08-24,24.8,27,13:32,23.5,6:08,3.5
2014-08-25,23.7,25.8,13:09,22.2,19:46,3.6
2014-08-26,24.2,27.6,12:55,22.1,3:04,5.5
2014-08-27,22.1,24.8,15:15,20.2,6:05,4.6
2014-08-28,21.8,24.3,12:53,20.4,6:45,3.9
2014-08-29,22.3,26.4,15:09,20.4,6:31,6
2014-08-30,22.3,26.6,12:55,19.5,4:34,7.1
2014-08-31,22.4,26.1,12:58,19.4,6:11,6.7
2014-09-01,23.2,27.5,13:22,19.9,5:36,7.6
2014-09-02,22.8,25.5,15:28,20.5,3:23,5
2014-09-03,23.4,25.9,9:56,21.7,0:57,4.2
2014-09-04,24,27.3,13:50,21.2,6:06,6.1
2014-09-05,24.5,30.6,13:25,21.3,5:41,9.3
2014-09-06,22.3,24.3,16:48,20.1,23:52,4.2
2014-09-07,23.8,27.8,13:20,19.3,6:02,8.5
2014-09-08,24.4,27.9,11:12,21.5,5:59,6.4
2014-09-09,24.9,29.7,13:07,22,5:12,7.7
2014-09-10,24.6,27.9,11:36,22.6,23:59,5.3
2014-09-11,23.7,27.2,11:40,21,6:11,6.2
2014-09-12,22.5,25.3,13:38,20.5,24:00:00,4.8
2014-09-13,22.5,26.7,13:40,19.8,3:25,6.9
2014-09-14,22.2,26.4,11:23,19.2,6:05,7.2
2014-09-15,22.9,27.5,13:29,20,4:40,7.5
2014-09-16,24.2,28.4,12:29,21.2,6:12,7.2
2014-09-17,22,24.3,11:43,19.9,20:12,4.4
2014-09-18,20.6,23.3,15:11,19,6:13,4.3
2014-09-19,20.9,23,11:36,18.9,6:07,4.1
2014-09-20,21.9,26.4,13:18,18.4,3:41,8
2014-09-21,22.3,26.7,12:20,18.7,4:51,8
2014-09-22,22.7,27.2,11:36,19.3,6:00,7.9
2014-09-23,21.9,26.9,11:32,19.5,22:36,7.4
2014-09-24,21,24.1,13:11,18.6,20:51,5.5
2014-09-25,21.8,26.6,13:59,18.8,5:17,7.8
2014-09-26,21.1,25.1,13:00,18.7,6:04,6.4
2014-09-27,21.7,25.8,13:08,17.2,6:18,8.6
2014-09-28,23,28,13:10,19.2,6:21,8.8
2014-09-29,22.6,26.3,12:16,20.6,1:39,5.7
2014-09-30,20.3,24.2,9:49,17.9,23:50,6.3
2014-10-01,19.3,23.1,14:55,17.1,6:39,6
2014-10-02,20.8,25.7,11:51,17.5,0:10,8.2
2014-10-03,20.5,25.3,14:29,17.8,6:08,7.5
2014-10-04,19.1,23.3,12:39,16.8,23:55,6.5
2014-10-05,18.8,23,13:35,15.6,4:35,7.4
2014-10-06,18.6,23.7,15:01,15.2,6:11,8.5
2014-10-07,18.4,23.4,12:08,14.8,4:57,8.6
2014-10-08,18.9,23.8,12:49,14.6,5:59,9.2
2014-10-09,19.8,25,12:10,16,4:02,9
2014-10-10,20.1,25,11:07,15.9,5:01,9.1
2014-10-11,19.7,23.7,13:33,18.1,4:38,5.6
2014-10-12,19.7,21.8,12:58,17.9,23:47,3.9
2014-10-13,16.9,18.2,1:24,15.4,23:59,2.8
2014-10-14,15.5,20.8,12:57,12.4,6:33,8.4
2014-10-15,16.8,21.7,12:09,12.1,6:20,9.6
2014-10-16,16.4,21.2,14:40,12.6,6:55,8.6
2014-10-17,15.5,20.8,11:22,10.9,6:41,9.9
2014-10-18,17.2,22.6,13:57,12.8,1:55,9.8
2014-10-19,18.7,23.6,13:18,13.1,6:05,10.5
2014-10-20,20.4,21.5,11:12,18.4,5:18,3.1
2014-10-21,18.2,22,8:54,15.4,18:03,6.6
2014-10-22,14,15.8,0:01,13.4,8:40,2.4
2014-10-23,15.2,20.3,13:51,12.7,5:50,7.6
2014-10-24,16.9,22.1,14:13,12.7,5:01,9.4
2014-10-25,17.8,23.9,12:57,13.9,3:36,10
2014-10-26,19,24.1,14:11,14.9,3:36,9.2
2014-10-27,17.2,21.3,11:04,14,23:31,7.3
2014-10-28,16.1,21.3,14:03,11.9,6:54,9.4
2014-10-29,16.1,21.1,11:32,12.6,6:16,8.5
2014-10-30,16.9,20.5,10:29,13.1,6:33,7.4
2014-10-31,15.6,16.8,5:59,14.1,17:05,2.7
2014-11-01,17.6,20.9,13:36,15.7,6:31,5.2
2014-11-02,14.6,18.4,10:56,10.3,23:48,8.1
2014-11-03,10.6,15.1,14:16,7.1,6:42,8
2014-11-04,12.5,17.6,12:41,8.5,6:42,9.1
2014-11-05,14.4,20.6,13:23,9.9,5:35,10.7
2014-11-06,15.8,21.6,13:18,12.3,6:13,9.3
2014-11-07,15.9,21,12:19,12.3,5:20,8.7
2014-11-08,15.8,19,13:30,13,23:27,6
2014-11-09,15.1,20.7,14:03,11.6,23:59,9.1
2014-11-10,14.1,19.9,12:25,9.9,7:19,10
2014-11-11,13.8,19.6,13:17,10.2,6:59,9.4
2014-11-12,11.8,16.5,10:45,7.4,23:58,9.1
2014-11-13,5.9,10.3,14:01,2.6,6:59,7.7
2014-11-14,7.2,12.5,13:59,1.8,5:38,10.7
2014-11-15,9.7,14.2,14:05,5.2,6:43,9
2014-11-16,11.5,16.2,14:40,9.1,5:03,7.1
2014-11-17,10.8,15.1,13:46,7.9,23:44,7.2
2014-11-18,9.2,14.2,14:02,6,6:47,8.2
2014-11-19,9.6,15.7,13:01,5,6:19,10.7
2014-11-20,11.4,17.3,14:27,6.7,7:34,10.6
2014-11-21,12.6,17.6,11:18,8.7,3:23,8.9
2014-11-22,14.4,20.1,13:54,9.6,5:44,10.5
2014-11-23,14.5,18.5,12:10,10.7,4:52,7.8
2014-11-24,13.2,16.8,11:32,11,21:51,5.8
2014-11-25,12,15.1,12:55,10.8,1:01,4.3
2014-11-26,12.4,17.3,14:28,10.4,4:35,6.9
2014-11-27,13,18.8,12:08,8.9,5:03,9.9
2014-11-28,13.7,16,18:40,10.4,4:26,5.6
2014-11-29,13.9,19.3,13:15,10.7,7:22,8.6
2014-11-30,13.3,15.2,14:18,11.6,2:56,3.6
2014-12-01,7,12.8,0:09,0.6,23:20,12.2
2014-12-02,0.6,4.9,14:38,-1.7,7:12,6.6
2014-12-03,4.6,8.1,14:53,-0.6,2:12,8.7
2014-12-04,3.7,8.1,12:47,0.5,23:57,7.6
2014-12-05,0,3.6,14:10,-2.4,7:11,6
2014-12-06,0.8,5.2,14:40,-2.9,4:36,8.1
2014-12-07,1.6,5.3,13:53,-1.5,3:43,6.8
2014-12-08,3.3,7.5,14:25,0.8,6:02,6.7
2014-12-09,5,10.8,14:25,-1,7:09,11.8
2014-12-10,9.9,15.2,11:57,6.1,6:40,9.1
2014-12-11,6.9,11.1,13:08,2.3,23:59,8.8
2014-12-12,2.7,6.1,14:38,0.1,7:24,6
2014-12-13,1.4,4.7,12:12,-1.2,23:51,5.9
2014-12-14,1,5.8,14:55,-3.1,7:18,8.9
2014-12-15,5.3,10.1,13:41,0.8,4:30,9.3
2014-12-16,2.8,8.5,3:43,-2.7,23:52,11.2
2014-12-17,-3,1.2,14:31,-6,7:02,7.2
2014-12-18,-0.9,5.3,14:54,-5.9,7:23,11.2
2014-12-19,4.3,9,11:42,-1.7,1:40,10.7
2014-12-20,5.1,10,13:34,0.1,23:49,9.9
2014-12-21,0.1,4,14:04,-2.3,4:54,6.3
2014-12-22,1.1,5.6,15:30,-3.9,7:43,9.5
2014-12-23,4.5,9.7,13:48,0.3,6:54,9.4
2014-12-24,7.5,13.3,13:17,3.6,2:00,9.7
2014-12-25,2.3,7.2,14:45,-0.8,7:36,8
2014-12-26,2.4,7.9,13:32,-2.1,7:14,10
2014-12-27,5.9,12,15:03,0.8,2:26,11.2
2014-12-28,5,8.5,11:43,2.9,6:08,5.6
2014-12-29,5.9,10.8,14:02,1.7,7:39,9.1
2014-12-30,7.8,13.2,13:53,4.6,6:25,8.6
2014-12-31,4.9,9.2,9:59,0.2,24:00:00,9
2015-01-01,-2.2,1.2,15:32,-4.9,7:30,6.1
2015-01-02,-1,3.7,14:38,-4.6,1:54,8.3
2015-01-03,1.8,7.9,15:13,-3.8,5:34,11.7
2015-01-04,7,13,15:21,2.1,5:52,10.9
2015-01-05,9.3,13.4,15:07,2.9,7:35,10.5
2015-01-06,7.6,13.5,2:26,1.8,23:13,11.7
2015-01-07,1.4,6.1,14:22,-1.2,7:14,7.3
2015-01-08,0.8,6.2,15:38,-3.6,7:20,9.8
2015-01-09,2.8,7.4,14:46,-0.8,7:33,8.2
2015-01-10,4,8.8,15:13,-0.3,6:04,9.1
2015-01-11,4.6,10.6,15:22,1,4:05,9.6
2015-01-12,3,9.4,15:01,-2,7:48,11.4
2015-01-13,6.1,11.8,13:38,1.5,5:39,10.3
2015-01-14,6.6,8.2,13:37,5.5,2:14,2.7
2015-01-15,7.5,11.4,15:08,4.9,24:00:00,6.5
2015-01-16,6.2,10.8,12:15,3.5,4:36,7.3
2015-01-17,3.1,8,15:15,0.6,7:30,7.4
2015-01-18,4.4,8.9,13:32,-0.4,7:09,9.3
2015-01-19,6.1,10.8,14:56,2.6,23:57,8.2
2015-01-20,5.1,10.4,14:36,-0.2,6:34,10.6
2015-01-21,7.2,10.3,12:57,5.3,0:33,5
2015-01-22,6.2,8.6,12:47,4.3,23:57,4.3
2015-01-23,5.5,10.4,13:26,1.6,7:12,8.8
2015-01-24,5.5,11.4,15:18,1.1,8:21,10.3
2015-01-25,8.6,12.3,12:52,4.3,2:52,8
2015-01-26,10.6,13.9,15:31,8.3,23:54,5.6
2015-01-27,5.3,9.5,14:30,1.5,23:22,8
2015-01-28,2.9,8.7,14:28,-1,6:38,9.7
2015-01-29,5.1,8.1,13:13,2.2,0:10,5.9
2015-01-30,3.8,8.4,14:46,-0.4,24:00:00,8.8
2015-01-31,0.7,7.1,14:44,-3.4,7:26,10.5
2015-02-01,3.2,10,13:18,-1.7,4:43,11.7
2015-02-02,5,10.4,12:31,0.8,5:20,9.6
2015-02-03,6.7,11.5,11:56,2.1,7:21,9.4
2015-02-04,5.2,9.9,15:21,2.3,23:53,7.6
2015-02-05,3.7,8.9,13:46,0.2,7:40,8.7
2015-02-06,4.2,10.6,15:16,-0.7,7:05,11.3
2015-02-07,5.6,10.3,14:15,2.3,6:53,8
2015-02-08,0.2,4.7,3:56,-5.2,23:41,9.9
2015-02-09,-2.2,3,15:43,-7.8,6:35,10.8
2015-02-10,4.4,9.1,15:07,-0.9,6:43,10
2015-02-11,6.5,10.4,14:21,2.3,7:04,8.1
2015-02-12,5.2,9.8,14:26,0.5,23:59,9.3
2015-02-13,1.9,8.5,16:09,-2.8,7:04,11.3
2015-02-14,5.3,11.3,14:50,-0.8,7:01,12.1
2015-02-15,7.8,10.5,10:22,5.1,6:56,5.4
2015-02-16,6.7,7.6,0:01,6.1,23:57,1.5
2015-02-17,6.5,11.6,14:05,3.4,23:53,8.2
2015-02-18,4.6,9.4,14:51,1.9,6:04,7.5
2015-02-19,4.9,11.5,13:23,0.7,7:10,10.8
2015-02-20,6.6,11.2,11:22,2.3,7:05,8.9
2015-02-21,9,10.5,15:37,5.5,0:04,5
2015-02-22,11.1,15.4,15:26,6,23:56,9.4
2015-02-23,6.7,13.6,15:35,2.9,8:03,10.7
2015-02-24,7.8,13.9,15:38,3.9,7:54,10
2015-02-25,9.7,12.9,12:36,6.2,0:01,6.7
2015-02-26,8.8,14.9,14:20,2.5,23:56,12.4
2015-02-27,2,6.4,14:20,-1.5,6:51,7.9
2015-02-28,5.3,7.9,14:31,2.9,1:09,5
2015-03-01,5.1,9.6,16:28,2.2,3:39,7.4
2015-03-02,5.2,10.2,12:06,0.9,6:26,9.3
2015-03-03,5,6.8,8:24,2.8,22:29,4
2015-03-04,3.2,7.7,15:11,-0.4,7:26,8.1
2015-03-05,3.7,9.5,13:03,-2,6:33,11.5
2015-03-06,6.4,10.8,11:20,3.5,6:20,7.3
2015-03-07,7.9,12.8,14:05,3.9,7:04,8.9
2015-03-08,8.7,13,10:51,4.2,6:42,8.8
2015-03-09,8.8,17,14:33,-0.2,23:57,17.2
2015-03-10,0.7,6.3,17:20,-4.1,6:33,10.4
2015-03-11,4.2,8.5,13:54,-1.2,2:00,9.7
2015-03-12,6.1,10,14:12,1.1,6:46,8.9
2015-03-13,8.2,12,13:00,5.8,5:35,6.2
2015-03-14,8.5,13.5,12:57,4.1,6:52,9.4
2015-03-15,10.5,15.3,12:59,6.5,5:44,8.8
2015-03-16,12.3,18.4,13:43,7.5,6:31,10.9
2015-03-17,14.6,19,12:19,9.7,6:46,9.3
2015-03-18,11.3,14.7,4:38,9.1,22:25,5.6
2015-03-19,11.3,17.8,13:43,8.7,2:39,9.1
2015-03-20,13.1,18.9,12:29,9.9,0:02,9
2015-03-21,15.5,20.9,12:15,10.8,0:01,10.1
2015-03-22,14.6,20.4,16:35,10.9,23:54,9.5
2015-03-23,9.3,14.7,15:38,4.7,6:25,10
2015-03-24,7.9,12.4,12:39,3.3,6:14,9.1
2015-03-25,9.6,13.8,14:24,4.9,4:31,8.9
2015-03-26,11.2,15.6,12:28,7.3,5:07,8.3
2015-03-27,13.4,19.3,12:15,9.4,5:28,9.9
2015-03-28,14.1,18.7,11:49,9.2,6:07,9.5
2015-03-29,14.6,20.7,12:18,10.7,6:43,10
2015-03-30,15.4,20.1,13:50,11,6:15,9.1
2015-03-31,14.6,16.2,11:29,13,6:37,3.2
2015-04-01,12.8,16.3,5:14,10.5,20:28,5.8
2015-04-02,13.5,17.4,22:54,10.6,2:04,6.8
2015-04-03,16.1,20.7,13:25,11.7,23:25,9
2015-04-04,10.8,15.1,10:00,8.1,21:15,7
2015-04-05,10.7,12.6,13:35,8.4,0:01,4.2
2015-04-06,11.3,12.9,9:52,10,19:51,2.9
2015-04-07,9.8,12.3,15:41,8.8,19:25,3.5
2015-04-08,8.7,10.9,10:29,6.7,23:32,4.2
2015-04-09,10,14.5,13:46,5.9,5:06,8.6
2015-04-10,11.8,17.6,13:32,8.3,2:58,9.3
2015-04-11,12.5,17.6,12:55,7.8,5:44,9.8
2015-04-12,13.1,18.1,12:31,9.8,5:13,8.3
2015-04-13,11.1,13.5,10:42,10,4:57,3.5
2015-04-14,11.1,14.9,13:07,8.4,4:56,6.5
2015-04-15,13.7,19.6,15:04,7.8,4:22,11.8
2015-04-16,14.6,19,14:35,9.9,23:58,9.1
2015-04-17,13.5,19,13:30,8.2,4:57,10.8
2015-04-18,14.7,20.1,14:08,10.8,2:29,9.3
2015-04-19,15.9,17.2,21:17,14,0:03,3.2
2015-04-20,11.7,15.2,0:01,9.4,23:09,5.8
2015-04-21,12.8,16.5,15:21,8.1,6:06,8.4
2015-04-22,17.2,21.9,11:26,12.4,1:43,9.5
2015-04-23,16.9,20.6,9:34,13.3,6:18,7.3
2015-04-24,16.4,21.9,11:17,12.2,5:13,9.7
2015-04-25,17.4,21.1,14:38,15,22:55,6.1
2015-04-26,17.7,22.6,10:17,14.1,0:57,8.5
2015-04-27,18.8,23.9,11:12,15,0:01,8.9
2015-04-28,18.4,23,14:12,15.1,4:49,7.9
2015-04-29,15.7,17.4,0:01,14.7,18:22,2.7
2015-04-30,17,20.3,12:32,14.1,2:53,6.2
2015-05-01,19.3,23.3,10:05,15.3,5:11,8
2015-05-02,19.8,23.9,15:23,15.8,5:24,8.1
2015-05-03,16.8,18.9,1:29,16,11:18,2.9
2015-05-04,20,25.5,14:04,15.3,23:57,10.2
2015-05-05,16,21,13:00,12.3,4:43,8.7
2015-05-06,16.4,19.1,9:55,13.9,1:38,5.2
2015-05-07,19,22.5,10:04,14.8,4:27,7.7
2015-05-08,19.5,23.3,10:13,15.7,2:15,7.6
2015-05-09,18.3,21.9,11:59,15.9,4:57,6
2015-05-10,16.3,19.4,10:46,13.8,5:43,5.6
2015-05-11,16.6,20.6,10:13,13.6,4:55,7
2015-05-12,16.1,18.6,14:14,13.9,7:34,4.7
2015-05-13,19.3,22.6,12:18,15,1:32,7.6
2015-05-14,18.3,21.1,15:05,15.7,2:50,5.4
2015-05-15,17.5,22.3,9:55,15,23:58,7.3
2015-05-16,16,19,11:38,14.1,4:36,4.9
2015-05-17,19.1,24.1,10:05,14.6,5:12,9.5
2015-05-18,15.5,18.6,9:37,13.5,11:53,5.1
2015-05-19,17.9,23.6,10:47,14,5:38,9.6
2015-05-20,18.2,23.6,12:52,14.3,23:32,9.3
2015-05-21,19,23.5,10:43,14,0:59,9.5
2015-05-22,20.7,25.1,9:52,17.6,0:10,7.5
2015-05-23,19.3,22.7,12:22,16.1,23:51,6.6
2015-05-24,20,23.9,9:09,15.8,5:27,8.1
2015-05-25,19.9,24.3,15:56,16.4,5:19,7.9
2015-05-26,22.4,30.2,11:38,16.8,2:00,13.4
2015-05-27,21.9,26.3,14:54,18.3,3:06,8
2015-05-28,21.3,26.5,15:08,18.3,6:29,8.2
2015-05-29,22.7,27.4,12:15,17.8,5:13,9.6
2015-05-30,19.6,21.5,11:51,17.7,23:43,3.8
2015-05-31,20.9,26.5,12:38,17.3,3:38,9.2
2015-06-01,21.1,25.2,13:19,16.9,5:17,8.3
2015-06-02,21,23.5,14:31,19.2,4:14,4.3
2015-06-03,21.3,28,10:48,18.3,24:00:00,9.7
2015-06-04,21.8,28.1,11:00,17,3:53,11.1
2015-06-05,16.3,20.7,0:50,14,24:00:00,6.7
2015-06-06,18.1,22.6,10:35,13.7,3:30,8.9
2015-06-07,19.8,24.2,13:26,16.2,3:55,8
2015-06-08,20.3,23,14:41,18,5:17,5
2015-06-09,21.2,23.7,14:42,19.1,4:56,4.6
2015-06-10,23.2,27.8,13:50,18.8,0:46,9
2015-06-11,21.2,21.8,8:15,20.5,4:51,1.3
2015-06-12,21.1,26.5,10:29,18.6,23:36,7.9
2015-06-13,20.3,23.6,14:12,17.9,4:56,5.7
2015-06-14,21.2,25.1,14:19,17.4,4:01,7.7
2015-06-15,21.1,22.4,16:07,20.4,11:13,2
2015-06-16,20.9,23,16:46,19.2,23:53,3.8
2015-06-17,20.9,24,12:17,19.3,0:01,4.7
2015-06-18,22.4,25.6,12:51,19.8,0:58,5.8
2015-06-19,22.2,27.1,14:27,19.2,23:43,7.9
2015-06-20,19.7,22.9,11:30,17.9,4:14,5
2015-06-21,20.6,23.8,12:03,18.5,0:01,5.3
2015-06-22,21.3,24.9,16:27,18.5,1:09,6.4
2015-06-23,22.5,26.3,9:13,19.2,5:14,7.1
2015-06-24,22.6,26.3,12:34,19.9,0:50,6.4
2015-06-25,22.4,26.6,11:01,19.7,4:59,6.9
2015-06-26,22.9,25.8,15:19,21,0:01,4.8
2015-06-27,20.9,23.5,11:49,18.6,23:57,4.9
2015-06-28,20.4,24.1,14:22,17.7,3:34,6.4
2015-06-29,21.8,26.1,14:09,17.5,4:19,8.6
2015-06-30,20.8,23.3,10:15,19.2,23:14,4.1
2015-07-01,22.7,27,15:58,19.1,3:11,7.9
2015-07-02,22,26.5,9:39,19.8,5:22,6.7
